UNIX,EDA
1677138619.75,0.821126
1677138620.0,0.344744
1677138620.25,0.060442
1677138620.5,0.075806
1677138620.75,0.083488
1677138621.0,0.08989
1677138621.25,0.098852
1677138621.5,0.110375
1677138621.75,0.114216
1677138622.0,0.125739
1677138622.25,0.132141
1677138622.5,0.138542
1677138622.75,0.146224
1677138623.0,0.152626
1677138623.25,0.161588
1677138623.5,0.166709
1677138623.75,0.176952
1677138624.0,0.183354
1677138624.25,0.189755
1677138624.5,0.192316
1677138624.75,0.196157
1677138625.0,0.201278
1677138625.25,0.210241
1677138625.5,0.214082
1677138625.75,0.214082
1677138626.0,0.215362
1677138626.25,0.216642
1677138626.5,0.223044
1677138626.75,0.223044
1677138627.0,0.226885
1677138627.25,0.229446
1677138627.5,0.230726
1677138627.75,0.230726
1677138628.0,0.229446
1677138628.25,0.224324
1677138628.5,0.224324
1677138628.75,0.221764
1677138629.0,0.223044
1677138629.25,0.223044
1677138629.5,0.221764
1677138629.75,0.223044
1677138630.0,0.223044
1677138630.25,0.221764
1677138630.5,0.221764
1677138630.75,0.216642
1677138631.0,0.216642
1677138631.25,0.214082
1677138631.5,0.212801
1677138631.75,0.216642
1677138632.0,0.225605
1677138632.25,0.230726
1677138632.5,0.237128
1677138632.75,0.239688
1677138633.0,0.24865
1677138633.25,0.24865
1677138633.5,0.249931
1677138633.75,0.251211
1677138634.0,0.251211
1677138634.25,0.252491
1677138634.5,0.249931
1677138634.75,0.253772
1677138635.0,0.252491
1677138635.25,0.253772
1677138635.5,0.253772
1677138635.75,0.251211
1677138636.0,0.251211
1677138636.25,0.249931
1677138636.5,0.252491
1677138636.75,0.252491
1677138637.0,0.375403
1677138637.25,0.463746
1677138637.5,0.5188
